source	target
PRKACA_Homo sapiens	GLI1
PRKACA_Homo sapiens	CUX1
PRKACA_Homo sapiens	HIF1A
PRKACA_Homo sapiens	VASP
PRKACA_Homo sapiens	RAP1B
PRKACA_Homo sapiens	CDK16
PRKACA_Homo sapiens	NOS3
PRKACA_Homo sapiens	MAP2
PRKACA_Homo sapiens	RAF1
PRKACA_Homo sapiens	PPP2R5D
PRKACA_Homo sapiens	SEC14L2
PRKACA_Homo sapiens	CIITA
PRKACA_Homo sapiens	FAM160B2
PRKACA_Homo sapiens	HSPA1A
PRKACA_Homo sapiens	MAPKAPK5
PRKACA_Homo sapiens	LRRK2
PRKACA_Homo sapiens	NEDD4L
PRKACA_Homo sapiens	NCOA3
PRKACA_Homo sapiens	RB1
PRKACA_Homo sapiens	CUL5
PRKACA_Homo sapiens	LRP6
PRKACA_Homo sapiens	UBE3A iso2
PRKACA_Homo sapiens	GLI3
PRKACA_Homo sapiens	SHP-2 iso2
PRKACA_Homo sapiens	Kv7.2 iso4
PRKACA_Homo sapiens	PLCG1
PRKACA_Homo sapiens	ASIC1 iso1
PRKACA_Homo sapiens	RELA
PRKACA_Homo sapiens	CASP9
PRKACA_Homo sapiens	KDELR1
PRKACA_Homo sapiens	MYBPC3
PRKACA_Homo sapiens	NOXA1
PRKACA_Homo sapiens	GATA4
PRKACA_Homo sapiens	PPP1R9A
PRKACA_Homo sapiens	CHCHD3
PRKACA_Homo sapiens	ERBB2
PRKACA_Homo sapiens	CYP3A4
PRKACA_Homo sapiens	DACT1
PRKACA_Homo sapiens	ULK2
PRKACA_Homo sapiens	LRP1
PRKACA_Homo sapiens	MARK3
PRKACA_Homo sapiens	KCND2
PRKACA_Homo sapiens	PRKAR2B
PRKACA_Homo sapiens	RHOA
PRKACA_Homo sapiens	CRF-R1 iso2
PRKACA_Homo sapiens	RASGRF1
PRKACA_Homo sapiens	HSPB1
PRKACA_Homo sapiens	BAD
PRKACA_Homo sapiens	FXYD1
PRKACA_Homo sapiens	SLC8B1
PRKACA_Homo sapiens	CCND1
PRKACA_Homo sapiens	DUOX1
PRKACA_Homo sapiens	USP20
PRKACA_Homo sapiens	NFKB1
PRKACA_Homo sapiens	ADRB2
PRKACA_Homo sapiens	STK26
PRKACA_Homo sapiens	KCNH2
PRKACA_Homo sapiens	PDE4A
PRKACA_Homo sapiens	PLN
PRKACA_Homo sapiens	STK38
PRKACA_Homo sapiens	ABCB1
PRKACA_Homo sapiens	HDAC8
PRKACA_Homo sapiens	TNNI3
PRKACA_Homo sapiens	PHOX2A
PRKACA_Homo sapiens	GFAP
PRKACA_Homo sapiens	ETV1
PRKACA_Homo sapiens	DNM1L
PRKACA_Homo sapiens	SRF
PRKACA_Homo sapiens	LIPE
PRKACA_Homo sapiens	BIRC5
PRKACA_Homo sapiens	CREB1
PRKACA_Homo sapiens	POU5F1
PRKACA_Homo sapiens	KCNN2
PRKACA_Homo sapiens	APPL1
