PAK2_Mus musculus	Mknk1	15234964
Lck_Homo sapiens	SOCS3	12783885
PKB_group_Homo sapiens	TERT	10224060
SRC_Homo sapiens	TERT	12808100
IKK_group_Homo sapiens	IKBKB	10195894
PKB_group_Homo sapiens	CHUK	10485710
Fyn_Homo sapiens	FYB	10409671
Abl_Homo sapiens	PLSCR1	11390389
SRC_Homo sapiens	PLSCR1	12871937
Abl_Homo sapiens	TP73	10391251
CDK2_Homo sapiens	TP73	12676926
CHK1_Homo sapiens	TP73	14585975
PKB_group_Homo sapiens	FANCA	11855836
Aurora B_Homo sapiens	BIRC5	14610074
CDK1_Homo sapiens	BIRC5	11069302
PDK-1_Homo sapiens	PDPK1	16780920
SRC_Homo sapiens	PDPK1	11481331
RET_Homo sapiens	PDPK1	12738763
MAP3K7_Homo sapiens	MAP3K7	10838074
PKC_theta_Homo sapiens	WIPF1	12504004
PKB_group_Homo sapiens	FOXO3	11154281
SGK_group_Homo sapiens	FOXO3	11154281
IKK_beta_Homo sapiens	FOXO3	15084260
MAPK8_Mus musculus	Bcl2l11	12818176
MAPK9_Mus musculus	Bcl2l11	12818176
MAPK10_Mus musculus	Bcl2l11	12818176
JAK2_Homo sapiens	JAK2	9111318
CDK_group_Homo sapiens	DAB1	12077184
CHK2_Homo sapiens	CHEK2	11390408
ATM_Homo sapiens	CHEK2	10973490
TTK_Homo sapiens	CHEK2	15618221
PLK1_Homo sapiens	CHEK2	12493754
ATM_Homo sapiens	ABL1	9168116
Abl_Homo sapiens	ABL1	10964922
TTK_Homo sapiens	ABL1	18794806
Abl_Mus musculus	Abl1	1956339
CDK_group_Mus musculus	Abl1	1956339
SRC_Homo sapiens	EGFR	10075741
CaM-KII_alpha_Homo sapiens	EGFR	10347170
MAPK3_Homo sapiens	EGFR	1939237
MAPK1_Homo sapiens	EGFR	1939237
EGFR_Homo sapiens	EGFR	8845374
CDK1_Homo sapiens	EGFR	8360196
PKC_group_Homo sapiens	EGFR	1860884
