id	targets	type
autocatalysis_Mus musculus	42	kinase
PKA_group_Mus musculus	25	kinase
ERK2_Mus musculus	25	kinase
AMPK_group_Mus musculus	23	kinase
PKC_group_Mus musculus	20	kinase
SRC_Mus musculus	18	kinase
PKACa_Mus musculus	17	kinase
PKCa_Mus musculus	16	kinase
MST1_Mus musculus	13	kinase
ABL1_Mus musculus	13	kinase
CDK5_Mus musculus	12	kinase
CK2a1_Mus musculus	12	kinase
MAPK_group_Mus musculus	11	kinase
LYN_Mus musculus	11	kinase
AKT1_Mus musculus	11	kinase
CDC2_Mus musculus	11	kinase
GSK3B_Mus musculus	10	kinase
ERK1_Mus musculus	8	kinase
MAPKAPK2_Mus musculus	8	kinase
FYN_Mus musculus	8	kinase
JNK1_Mus musculus	8	kinase
CDK2_Mus musculus	8	kinase
PKB_group_Mus musculus	8	kinase
SYK_Mus musculus	7	kinase
ROCK2_Mus musculus	7	kinase
LKB1_Mus musculus	7	kinase
HIPK2_Mus musculus	6	kinase
CaMK2a_Mus musculus	6	kinase
CaMK2_group_Mus musculus	6	kinase
p38a_Mus musculus	6	kinase
PDK1_Mus musculus	5	kinase
JAK2_Mus musculus	5	kinase
PAK1_Mus musculus	5	kinase
RSK_group_Mus musculus	5	kinase
PKG1_Mus musculus	5	kinase
SGK1_Mus musculus	5	kinase
LCK_Mus musculus	5	kinase
CDK_group_Mus musculus	5	kinase
AKT2_Mus musculus	5	kinase
ATM_Mus musculus	4	kinase
EGFR_Mus musculus	4	kinase
AurB_Mus musculus	4	kinase
PKCt_Mus musculus	4	kinase
CK1_group_Mus musculus	4	kinase
PKD1_Mus musculus	4	kinase
CK2_group_Mus musculus	4	kinase
AurA_Mus musculus	3	kinase
GSK3B_group_Mus musculus	3	kinase
PKCb_Mus musculus	3	kinase
Haspin_Mus musculus	3	kinase
MSK1_Mus musculus	3	kinase
PAK3_Mus musculus	3	kinase
MAP2K4_Mus musculus	3	kinase
FER_Mus musculus	3	kinase
MAP2K7_Mus musculus	3	kinase
DYRK1B_Mus musculus	3	kinase
PAK2_Mus musculus	3	kinase
MAPKAPK5_Mus musculus	3	kinase
RSK2_Mus musculus	3	kinase
CaMK4_Mus musculus	3	kinase
DAPK1_Mus musculus	3	kinase
INSR_Mus musculus	3	kinase
BRSK1_Mus musculus	3	kinase
TRKB_Mus musculus	3	kinase
p38b_Mus musculus	3	kinase
SIK_Mus musculus	3	kinase
PIM2_Mus musculus	2	kinase
RSK1_Mus musculus	2	kinase
ACK_Mus musculus	2	kinase
ROCK_group_Mus musculus	2	kinase
MSK2_Mus musculus	2	kinase
PDGFRb_Mus musculus	2	kinase
PKCz_Mus musculus	2	kinase
MAP3K1_Mus musculus	2	kinase
ABL2_Mus musculus	2	kinase
MAPKAPK3_Mus musculus	2	kinase
PLK1_Mus musculus	2	kinase
PYK2_Mus musculus	2	kinase
MET_Mus musculus	2	kinase
JNK2_Mus musculus	2	kinase
MNK1_Mus musculus	2	kinase
MAP2K1_Mus musculus	2	kinase
SIK2_Mus musculus	2	kinase
SRC-type Tyr-kinases_Mus musculus	2	kinase
TGFBR1_Mus musculus	2	kinase
CaMK1_group_Mus musculus	2	kinase
Wnk1_Mus musculus	2	kinase
IKKe_Mus musculus	2	kinase
CDK7_Mus musculus	2	kinase
CDK4_Mus musculus	2	kinase
DYRK3_Mus musculus	2	kinase
ERK5_Mus musculus	2	kinase
EphA4_Mus musculus	2	kinase
ATR_Mus musculus	2	kinase
Wee1_Mus musculus	2	kinase
IGF1R_Mus musculus	2	kinase
FES_Mus musculus	2	kinase
STLK3_Mus musculus	2	kinase
IKKb_Mus musculus	2	kinase
SGK3_Mus musculus	2	kinase
FAK_Mus musculus	2	kinase
FRAP_Mus musculus	2	kinase
PKG2_Mus musculus	1	kinase
PKD_group_Mus musculus	1	kinase
Wnk4_Mus musculus	1	kinase
YES_Mus musculus	1	kinase
isoform HMG-Y_Mus musculus	1	kinase
p70S6K_Mus musculus	1	kinase
PKCe_Mus musculus	1	kinase
p38d_Mus musculus	1	kinase
host_Mus musculus	1	kinase
PKCd_Mus musculus	1	kinase
PKN1_Mus musculus	1	kinase
inisoform HMG-I_Mus musculus	1	kinase
caMLCK_Mus musculus	1	kinase
RSK5_Mus musculus	1	kinase
Wee1B_Mus musculus	1	kinase
Tyr-kinases_Mus musculus	1	kinase
PLK3_Mus musculus	1	kinase
PLK4_Mus musculus	1	kinase
Tropomyosin kinase_Mus musculus	1	kinase
TTBK1_Mus musculus	1	kinase
PRPK_Mus musculus	1	kinase
TSSK3_Mus musculus	1	kinase
TIE2_Mus musculus	1	kinase
RET_Mus musculus	1	kinase
ROCK1_Mus musculus	1	kinase
TIE1_Mus musculus	1	kinase
TAOK1_Mus musculus	1	kinase
SRC_group_Mus musculus	1	kinase
p38g_Mus musculus	1	kinase
TYK2_Mus musculus	1	kinase
MAP3K7_Mus musculus	1	kinase
PIM3_Mus musculus	1	kinase
FGFR3_Mus musculus	1	kinase
FAK2_Mus musculus	1	kinase
FAK1_Mus musculus	1	kinase
EphB2_Mus musculus	1	kinase
DYRK2_Mus musculus	1	kinase
DYRK1A_Mus musculus	1	kinase
DNAPK_Mus musculus	1	kinase
DDR1_Mus musculus	1	kinase
DCLK1_Mus musculus	1	kinase
Chak1_Mus musculus	1	kinase
CaMK2d_Mus musculus	1	kinase
CTK_Mus musculus	1	kinase
CSK_Mus musculus	1	kinase
CRIK_Mus musculus	1	kinase
CK1d_Mus musculus	1	kinase
CK1a_Mus musculus	1	kinase
CDK6_Mus musculus	1	kinase
CDK3_Mus musculus	1	kinase
CDC42BP_Mus musculus	1	kinase
CAMKK2_Mus musculus	1	kinase
BRSK2_Mus musculus	1	kinase
BRK_Mus musculus	1	kinase
BAZ1B_Mus musculus	1	kinase
BARK1_Mus musculus	1	kinase
AurC_Mus musculus	1	kinase
ABL_Mus musculus	1	kinase
FGFR1_Mus musculus	1	kinase
FGR_Mus musculus	1	kinase
PIK3CG_Mus musculus	1	kinase
FMS_Mus musculus	1	kinase
PDHK4_Mus musculus	1	kinase
PDGFR_group_Mus musculus	1	kinase
PCTAIRE1_Mus musculus	1	kinase
PASK_Mus musculus	1	kinase
PAK7_Mus musculus	1	kinase
PAK5_Mus musculus	1	kinase
PAK4_Mus musculus	1	kinase
NuaK1_Mus musculus	1	kinase
NLK_Mus musculus	1	kinase
NEK6_Mus musculus	1	kinase
MNK2_Mus musculus	1	kinase
MARK3_Mus musculus	1	kinase
MARK2_Mus musculus	1	kinase
MARK1_Mus musculus	1	kinase
MAP2K2_Mus musculus	1	kinase
LOK_Mus musculus	1	kinase
KIS_Mus musculus	1	kinase
KDR_Mus musculus	1	kinase
JNK_group_Mus musculus	1	kinase
JAK1_Mus musculus	1	kinase
ILK1_Mus musculus	1	kinase
IKKa_Mus musculus	1	kinase
HIPK4_Mus musculus	1	kinase
HCK_Mus musculus	1	kinase
GRK3_Mus musculus	1	kinase
p70S6K_group_Mus musculus	1	kinase
Abcf1		target
Abl2		target
Acly		target
Adam12		target
Ahr		target
Akt1		target
Apbb1		target
Apex1		target
App		target
Arhgap35		target
Arhgef1		target
Arpp19		target
Arpp21		target
Asap1		target
Ascl1		target
Atf2		target
Atf4		target
Atf7		target
Atm		target
Bad		target
Bax		target
Bcar1		target
Bcl2		target
Bcr		target
Bid		target
Brsk1		target
Brsk2		target
Btk		target
Cables1		target
Cabp4		target
Cacna1c		target
Camk2a		target
Camk2b		target
Canx		target
Card11		target
Cav1		target
Cav2		target
Cbl		target
Ccnd1		target
Cd79a		target
Cd79b		target
Cdh1		target
Cdh2		target
Cdk1		target
Cdk16		target
Cdk2		target
Cdk4		target
Cdk5		target
Cdkn1b		target
Cdv3		target
Cebpa		target
Cebpb		target
Clnk		target
Cpeb1		target
Creb1		target
Crebbp		target
Crem		target
Crk		target
Crtc2		target
Cry1		target
Cry2		target
Csf1r		target
Csf2rb		target
Ctla4		target
Ctnnb1		target
Cttn		target
Dab1		target
Dapk1		target
Dclk1		target
Ddit3		target
Ddr2		target
Des		target
Dlg2		target
Dlx5		target
Dnmt1		target
Dok1		target
Dpysl3		target
Dusp1		target
Dynll1		target
Dyrk1a		target
Dyrk3		target
E2f5		target
Eef1d		target
Efs		target
Egfr		target
Eif2ak1		target
Eif4e		target
Elk1		target
Elk3		target
En2		target
Enah		target
Eng		target
Epha2		target
Epha4		target
Ephb2		target
Eps15		target
Ets1		target
Ets2		target
Ezr		target
Fabp4		target
Fcor		target
Fer		target
Fes		target
Fgfr3		target
Flii		target
Fos		target
Foxo1		target
Foxo4		target
Frs2		target
Frs3		target
Fyn		target
Gab1		target
Gab2		target
Gabrb1		target
Gabrg2		target
Gata4		target
Gja1		target
Gng12		target
Grb10		target
Grin2b		target
Grk5		target
Gsk3a		target
Gsk3b		target
Gys1		target
H2afx		target
H3f3b		target
Hand1		target
Hck		target
Hdac4		target
Hdac5		target
Hdac7		target
Hdac9		target
Hist1h2bb		target
