source	target
PKA_group_Homo sapiens	SGK1
PKA_group_Homo sapiens	FXYD1
PKA_group_Homo sapiens	DNM1L
PKA_group_Homo sapiens	AURKA
PKA_group_Homo sapiens	PJA2
PKA_group_Homo sapiens	KCNQ2
PKA_group_Homo sapiens	RGS14
PKA_group_Homo sapiens	RGS10
PKA_group_Homo sapiens	ENSA
PKA_group_Homo sapiens	KCNJ13
PKA_group_Homo sapiens	PHF2
PKA_group_Homo sapiens	PDE5A
PKA_group_Homo sapiens	GFPT2
PKA_group_Homo sapiens	TPPP
PKA_group_Homo sapiens	ABCA1
PKA_group_Homo sapiens	NFATC1
PKA_group_Homo sapiens	HAND1
PKA_group_Homo sapiens	PAH
PKA_group_Homo sapiens	FGA
PKA_group_Homo sapiens	ESR1
PKA_group_Homo sapiens	VTN
PKA_group_Homo sapiens	RAF1
PKA_group_Homo sapiens	ANXA1
PKA_group_Homo sapiens	HMGN1
PKA_group_Homo sapiens	TFAP2A
PKA_group_Homo sapiens	TH
PKA_group_Homo sapiens	ADRB2
PKA_group_Homo sapiens	GJB1
PKA_group_Homo sapiens	NGFR
PKA_group_Homo sapiens	ABCB1
PKA_group_Homo sapiens	VIM
PKA_group_Homo sapiens	FGF2
PKA_group_Homo sapiens	HNRNPA1
PKA_group_Homo sapiens	ALOX5
PKA_group_Homo sapiens	GLI3
PKA_group_Homo sapiens	RARA
PKA_group_Homo sapiens	MAPT
PKA_group_Homo sapiens	SLC2A2
PKA_group_Homo sapiens	VDR
PKA_group_Homo sapiens	SRC
PKA_group_Homo sapiens	GP1BB
PKA_group_Homo sapiens	CFTR
PKA_group_Homo sapiens	ITGA4
PKA_group_Homo sapiens	LCP1
PKA_group_Homo sapiens	PRKAR2A
PKA_group_Homo sapiens	SI
PKA_group_Homo sapiens	NCF1
PKA_group_Homo sapiens	POU2F1
PKA_group_Homo sapiens	BRAF
PKA_group_Homo sapiens	ATF2
PKA_group_Homo sapiens	DSP
PKA_group_Homo sapiens	NPR1
PKA_group_Homo sapiens	EPB42
PKA_group_Homo sapiens	STMN1
PKA_group_Homo sapiens	TAL1
PKA_group_Homo sapiens	CAPN2
PKA_group_Homo sapiens	CEBPB
PKA_group_Homo sapiens	TPH1
PKA_group_Homo sapiens	CTPS1
PKA_group_Homo sapiens	PFKL
PKA_group_Homo sapiens	PLCG1
PKA_group_Homo sapiens	TNNI3
PKA_group_Homo sapiens	WT1
PKA_group_Homo sapiens	NFKB1
PKA_group_Homo sapiens	ATP2B1
PKA_group_Homo sapiens	CCND1
PKA_group_Homo sapiens	APC
PKA_group_Homo sapiens	GRK2
PKA_group_Homo sapiens	MSN
PKA_group_Homo sapiens	PTBP1
PKA_group_Homo sapiens	PLN
PKA_group_Homo sapiens	STOM
PKA_group_Homo sapiens	CAD
PKA_group_Homo sapiens	NOS3
PKA_group_Homo sapiens	MIP
PKA_group_Homo sapiens	HLA-A
PKA_group_Homo sapiens	PRKAR2B
PKA_group_Homo sapiens	MC4R
PKA_group_Homo sapiens	CSF2RB
PKA_group_Homo sapiens	CIITA
PKA_group_Homo sapiens	PTPN7
PKA_group_Homo sapiens	NF2
PKA_group_Homo sapiens	HRH1
PKA_group_Homo sapiens	PTGER4
PKA_group_Homo sapiens	ADD1
PKA_group_Homo sapiens	ADD2
PKA_group_Homo sapiens	SERPINF1
PKA_group_Homo sapiens	CDKN1A
PKA_group_Homo sapiens	CUX1
PKA_group_Homo sapiens	ETV5
PKA_group_Homo sapiens	AQP2
PKA_group_Homo sapiens	CETN2
PKA_group_Homo sapiens	CSK
PKA_group_Homo sapiens	GRIA1
PKA_group_Homo sapiens	RAP1GAP
PKA_group_Homo sapiens	GRIA4
PKA_group_Homo sapiens	SOX9
PKA_group_Homo sapiens	STAR
PKA_group_Homo sapiens	PSEN1
PKA_group_Homo sapiens	GSK3A
PKA_group_Homo sapiens	GSK3B
PKA_group_Homo sapiens	EMD
PKA_group_Homo sapiens	VASP
PKA_group_Homo sapiens	CDK9
PKA_group_Homo sapiens	BCAM
PKA_group_Homo sapiens	MYOM1
PKA_group_Homo sapiens	THOP1
PKA_group_Homo sapiens	ACLY
PKA_group_Homo sapiens	PTPN5
PKA_group_Homo sapiens	GMFB
PKA_group_Homo sapiens	RAP1B
PKA_group_Homo sapiens	RHOA
PKA_group_Homo sapiens	HIST1H2BI
PKA_group_Homo sapiens	RAP1A
PKA_group_Homo sapiens	YWHAZ
PKA_group_Homo sapiens	ASIC1
PKA_group_Homo sapiens	CDK16
PKA_group_Homo sapiens	PLCB3
PKA_group_Homo sapiens	PTPN12
PKA_group_Homo sapiens	LIPE
PKA_group_Homo sapiens	GFPT1
PKA_group_Homo sapiens	PDE4B
PKA_group_Homo sapiens	LRP1
PKA_group_Homo sapiens	CACNB2
PKA_group_Homo sapiens	DMTN
PKA_group_Homo sapiens	CETN1
PKA_group_Homo sapiens	AKAP13
PKA_group_Homo sapiens	KCNH2
PKA_group_Homo sapiens	PPP1R8
PKA_group_Homo sapiens	GRIK2
PKA_group_Homo sapiens	PDE3B
PKA_group_Homo sapiens	PPP1R1A
PKA_group_Homo sapiens	PIN1
PKA_group_Homo sapiens	HNRNPD
PKA_group_Homo sapiens	GNA13
PKA_group_Homo sapiens	NFE2L1
PKA_group_Homo sapiens	MEF2D
PKA_group_Homo sapiens	LASP1
PKA_group_Homo sapiens	MYBPC3
PKA_group_Homo sapiens	NOLC1
PKA_group_Homo sapiens	MYLK
PKA_group_Homo sapiens	STK11
PKA_group_Homo sapiens	GRK1
PKA_group_Homo sapiens	AANAT
PKA_group_Homo sapiens	SMN2
PKA_group_Homo sapiens	PPP1R3A
PKA_group_Homo sapiens	NOXA1
PKA_group_Homo sapiens	CAMKK1
PKA_group_Homo sapiens	GRK7
PKA_group_Homo sapiens	RYR2
PKA_group_Homo sapiens	SYN2
PKA_group_Homo sapiens	BAD
PKA_group_Homo sapiens	CUL5
PKA_group_Homo sapiens	PPP1R14A
PKA_group_Homo sapiens	NEDD4L
PKA_group_Homo sapiens	PPP1R9B
PKA_group_Homo sapiens	UHRF1
PKA_group_Homo sapiens	HDAC8
PKA_group_Homo sapiens	PPP1R14D
PKA_group_Homo sapiens	SUN2
PKA_group_Homo sapiens	APPL1
PKA_group_Homo sapiens	STK24
PKA_group_Homo sapiens	SLC4A4
autocatalysis_Homo sapiens	PIK3CD
autocatalysis_Homo sapiens	STK25
autocatalysis_Homo sapiens	CASK
autocatalysis_Homo sapiens	PDPK1
autocatalysis_Homo sapiens	DAPK3
autocatalysis_Homo sapiens	MAP3K7
autocatalysis_Homo sapiens	RIPK2
autocatalysis_Homo sapiens	JAK2
autocatalysis_Homo sapiens	RPS6KA5
autocatalysis_Homo sapiens	STK16
autocatalysis_Homo sapiens	PRKD3
autocatalysis_Homo sapiens	PAK4
autocatalysis_Homo sapiens	CHEK2
autocatalysis_Homo sapiens	ABL1
autocatalysis_Homo sapiens	EGFR
autocatalysis_Homo sapiens	RAF1
autocatalysis_Homo sapiens	ERBB2
autocatalysis_Homo sapiens	NTRK1
autocatalysis_Homo sapiens	PRKCB
autocatalysis_Homo sapiens	INSR
autocatalysis_Homo sapiens	LCK
autocatalysis_Homo sapiens	FYN
autocatalysis_Homo sapiens	FES
autocatalysis_Homo sapiens	CSF1R
autocatalysis_Homo sapiens	YES1
autocatalysis_Homo sapiens	LYN
autocatalysis_Homo sapiens	RET
autocatalysis_Homo sapiens	IGF1R
autocatalysis_Homo sapiens	MET
autocatalysis_Homo sapiens	HCK
autocatalysis_Homo sapiens	PDGFRB
autocatalysis_Homo sapiens	KIT
autocatalysis_Homo sapiens	FGFR1
autocatalysis_Homo sapiens	SRC
autocatalysis_Homo sapiens	BRAF
autocatalysis_Homo sapiens	PDGFRA
autocatalysis_Homo sapiens	FER
autocatalysis_Homo sapiens	PRKCA
autocatalysis_Homo sapiens	FLT1
autocatalysis_Homo sapiens	EIF2AK2
autocatalysis_Homo sapiens	MAK
autocatalysis_Homo sapiens	TAF1
autocatalysis_Homo sapiens	FGFR2
autocatalysis_Homo sapiens	FGFR4
autocatalysis_Homo sapiens	FGFR3
autocatalysis_Homo sapiens	MAPK3
autocatalysis_Homo sapiens	MAPK1
autocatalysis_Homo sapiens	EPHA2
autocatalysis_Homo sapiens	EPHA3
autocatalysis_Homo sapiens	AXL
autocatalysis_Homo sapiens	GRK5
autocatalysis_Homo sapiens	FLT4
autocatalysis_Homo sapiens	KDR
autocatalysis_Homo sapiens	FLT3
autocatalysis_Homo sapiens	PIK3CB
autocatalysis_Homo sapiens	MTOR
autocatalysis_Homo sapiens	TEC
autocatalysis_Homo sapiens	TXK
autocatalysis_Homo sapiens	ABL2
autocatalysis_Homo sapiens	ZAP70
autocatalysis_Homo sapiens	SYK
autocatalysis_Homo sapiens	PIK3CG
autocatalysis_Homo sapiens	CLK2
autocatalysis_Homo sapiens	RPS6KA3
autocatalysis_Homo sapiens	BMX
autocatalysis_Homo sapiens	NEK2
autocatalysis_Homo sapiens	JAK3
autocatalysis_Homo sapiens	DAPK1
autocatalysis_Homo sapiens	EPHB3
autocatalysis_Homo sapiens	SIK1
autocatalysis_Homo sapiens	CSNK2B
autocatalysis_Homo sapiens	PRKDC
autocatalysis_Homo sapiens	MAP3K9
autocatalysis_Homo sapiens	PRKCE
autocatalysis_Homo sapiens	TEK
autocatalysis_Homo sapiens	PRKCQ
autocatalysis_Homo sapiens	PTK2
autocatalysis_Homo sapiens	PRKCD
autocatalysis_Homo sapiens	BTK
autocatalysis_Homo sapiens	DDR1
autocatalysis_Homo sapiens	ITK
autocatalysis_Homo sapiens	MERTK
autocatalysis_Homo sapiens	STK4
autocatalysis_Homo sapiens	PAK1
autocatalysis_Homo sapiens	ATM
autocatalysis_Homo sapiens	CAMK2B
autocatalysis_Homo sapiens	CAMK2G
autocatalysis_Homo sapiens	CAMK2D
autocatalysis_Homo sapiens	DYRK1A
autocatalysis_Homo sapiens	PTK6
autocatalysis_Homo sapiens	PTK2B
