source	target
PKA_group_Homo sapiens	HIST1H2BI
PKA_group_Homo sapiens	FGA
PKA_group_Homo sapiens	ESR1
PKA_group_Homo sapiens	RAF1
PKA_group_Homo sapiens	ANXA1
PKA_group_Homo sapiens	TH
PKA_group_Homo sapiens	ADRB2
PKA_group_Homo sapiens	NGFR
PKA_group_Homo sapiens	ABCB1
PKA_group_Homo sapiens	RAP1B
PKA_group_Homo sapiens	MAPT
PKA_group_Homo sapiens	VDR
PKA_group_Homo sapiens	SRC
PKA_group_Homo sapiens	GP1BB
PKA_group_Homo sapiens	CFTR
PKA_group_Homo sapiens	PRKAR2A
PKA_group_Homo sapiens	NCF1
PKA_group_Homo sapiens	POU2F1
PKA_group_Homo sapiens	ATF2
PKA_group_Homo sapiens	EPB42
PKA_group_Homo sapiens	STMN1
PKA_group_Homo sapiens	CEBPB
PKA_group_Homo sapiens	PFKL
PKA_group_Homo sapiens	GABRB1
PKA_group_Homo sapiens	PLCG1
PKA_group_Homo sapiens	WT1
PKA_group_Homo sapiens	NFKB1
PKA_group_Homo sapiens	ATP2B1
PKA_group_Homo sapiens	CCND1
PKA_group_Homo sapiens	APC
PKA_group_Homo sapiens	STOM
PKA_group_Homo sapiens	YWHAZ
PKA_group_Homo sapiens	NOS3
PKA_group_Homo sapiens	CUX1
PKA_group_Homo sapiens	PSEN1
PKA_group_Homo sapiens	GSK3B
PKA_group_Homo sapiens	VASP
PKA_group_Homo sapiens	PTPN12
PKA_group_Homo sapiens	GRIK2
PKA_group_Homo sapiens	PIN1
PKA_group_Homo sapiens	AANAT
PKA_group_Homo sapiens	BAD
PKA_group_Homo sapiens	GRK2
PKA_group_Homo sapiens	CDK16
PKA_group_Homo sapiens	PRKAR2B
PKA_group_Homo sapiens	VTN
PKA_group_Homo sapiens	CSF2RB
PKA_group_Homo sapiens	CAD
PKA_group_Homo sapiens	DSP
PKA_group_Homo sapiens	SGK1
PKA_group_Homo sapiens	AURKA
PKA_group_Homo sapiens	PDE5A
PKA_group_Homo sapiens	ABCA1
PKA_group_Homo sapiens	NFATC1
PKA_group_Homo sapiens	HAND1
PKA_group_Homo sapiens	HMGN1
PKA_group_Homo sapiens	RHOA
PKA_group_Homo sapiens	GJB1
PKA_group_Homo sapiens	ALOX5
PKA_group_Homo sapiens	RAP1A
PKA_group_Homo sapiens	SLC2A2
PKA_group_Homo sapiens	ITGA4
PKA_group_Homo sapiens	LCP1
PKA_group_Homo sapiens	SI
PKA_group_Homo sapiens	NPR1
PKA_group_Homo sapiens	TAL1
PKA_group_Homo sapiens	TPH1
PKA_group_Homo sapiens	MSN
PKA_group_Homo sapiens	PLN
PKA_group_Homo sapiens	MIP
PKA_group_Homo sapiens	HLA-A
PKA_group_Homo sapiens	LRP1
PKA_group_Homo sapiens	MC4R
PKA_group_Homo sapiens	CIITA
PKA_group_Homo sapiens	PTPN7
PKA_group_Homo sapiens	PTGER4
PKA_group_Homo sapiens	ADD1
PKA_group_Homo sapiens	ADD2
PKA_group_Homo sapiens	AQP2
PKA_group_Homo sapiens	GRIA1
PKA_group_Homo sapiens	RAP1GAP
PKA_group_Homo sapiens	GRIA4
PKA_group_Homo sapiens	GSK3A
PKA_group_Homo sapiens	THOP1
PKA_group_Homo sapiens	ACLY
PKA_group_Homo sapiens	ASIC1
PKA_group_Homo sapiens	PLCB3
PKA_group_Homo sapiens	LIPE
PKA_group_Homo sapiens	GFPT1
PKA_group_Homo sapiens	PDE4B
PKA_group_Homo sapiens	CACNB2
PKA_group_Homo sapiens	DMTN
PKA_group_Homo sapiens	CETN1
PKA_group_Homo sapiens	KCNH2
PKA_group_Homo sapiens	PPP1R8
PKA_group_Homo sapiens	PDE3B
PKA_group_Homo sapiens	HNRNPD
PKA_group_Homo sapiens	GNA13
PKA_group_Homo sapiens	LASP1
PKA_group_Homo sapiens	NOLC1
PKA_group_Homo sapiens	MYLK
PKA_group_Homo sapiens	PPP1R3A
PKA_group_Homo sapiens	SLC4A4
PKA_group_Homo sapiens	RYR2
PKA_group_Homo sapiens	SYN2
PKA_group_Homo sapiens	CUL5
PKA_group_Homo sapiens	PPP1R9B
PKA_group_Homo sapiens	HNRNPA1
PKA_group_Homo sapiens	BRAF
PKA_group_Homo sapiens	CTPS1
PKA_group_Homo sapiens	CAMKK1
PKA_group_Homo sapiens	PPP1R14A
PKA_group_Homo sapiens	NEDD4L
PKA_group_Homo sapiens	GMFB
PKA_group_Homo sapiens	NF2
PKA_group_Homo sapiens	FXYD1
PKA_group_Homo sapiens	TNNI3
PKA_group_Homo sapiens	PAH
PKA_group_Homo sapiens	GRK1
PKA_group_Homo sapiens	CETN2
PKA_group_Homo sapiens	CAPN2
PKA_group_Homo sapiens	GFPT2
PKA_group_Homo sapiens	HRH1
PKA_group_Homo sapiens	HDAC8
PKA_group_Homo sapiens	AKAP13
PKA_group_Homo sapiens	SUN2
PKA_group_Homo sapiens	PTBP1
PKA_group_Homo sapiens	FGF2
PKA_group_Homo sapiens	STK24
PKA_group_Homo sapiens	PPP1R14D
PKA_group_Homo sapiens	GRK7
PKA_group_Homo sapiens	SOX9
PKA_group_Homo sapiens	MYOM1
PKA_group_Homo sapiens	NFE2L1
PKA_group_Homo sapiens	ETV5
PKA_group_Homo sapiens	RGS10
PKA_group_Homo sapiens	RGS14
PKA_group_Homo sapiens	MYBPC3
PKA_group_Homo sapiens	DNM1L
CK2_group_Homo sapiens	C1R
CK2_group_Homo sapiens	JUN
CK2_group_Homo sapiens	SSB
CK2_group_Homo sapiens	PGR
CK2_group_Homo sapiens	CDK1
CK2_group_Homo sapiens	HSP90AA1
CK2_group_Homo sapiens	HNRNPC
CK2_group_Homo sapiens	SP1
CK2_group_Homo sapiens	HSP90AB1
CK2_group_Homo sapiens	TOP2A
CK2_group_Homo sapiens	VDR
CK2_group_Homo sapiens	CDH1
CK2_group_Homo sapiens	CSNK2B
CK2_group_Homo sapiens	NCF1
CK2_group_Homo sapiens	IGFBP3
CK2_group_Homo sapiens	EGR1
CK2_group_Homo sapiens	ATF1
CK2_group_Homo sapiens	LIG1
CK2_group_Homo sapiens	NFKBIA
CK2_group_Homo sapiens	APEX1
CK2_group_Homo sapiens	CANX
CK2_group_Homo sapiens	CDC25B
CK2_group_Homo sapiens	ARRB2
CK2_group_Homo sapiens	CTNNB1
CK2_group_Homo sapiens	IRS1
CK2_group_Homo sapiens	CDC34
CK2_group_Homo sapiens	SUB1
CK2_group_Homo sapiens	RRAD
CK2_group_Homo sapiens	CAV1
CK2_group_Homo sapiens	RELA
CK2_group_Homo sapiens	MEF2C
CK2_group_Homo sapiens	HDAC1
CK2_group_Homo sapiens	CDC37
CK2_group_Homo sapiens	HDAC2
CK2_group_Homo sapiens	FAF1
CK2_group_Homo sapiens	L1CAM
CK2_group_Homo sapiens	CD5
CK2_group_Homo sapiens	F5
CK2_group_Homo sapiens	KLF1
CK2_group_Homo sapiens	MAZ
CK2_group_Homo sapiens	PSMA3
CK2_group_Homo sapiens	VTN
CK2_group_Homo sapiens	MYCN
CK2_group_Homo sapiens	GPI
CK2_group_Homo sapiens	MAX
CK2_group_Homo sapiens	HMGA1
CK2_group_Homo sapiens	PTEN
CK2_group_Homo sapiens	KIF1C
CK2_group_Homo sapiens	VAMP4
CK2_group_Homo sapiens	TNF
CK2_group_Homo sapiens	PTMA
CK2_group_Homo sapiens	PTPRC
CK2_group_Homo sapiens	HOXB7
CK2_group_Homo sapiens	MYB
CK2_group_Homo sapiens	MS4A1
CK2_group_Homo sapiens	MYF5
CK2_group_Homo sapiens	SAT1
CK2_group_Homo sapiens	UBA1
CK2_group_Homo sapiens	DDIT3
CK2_group_Homo sapiens	PPP1R2
CK2_group_Homo sapiens	POLR2F
CK2_group_Homo sapiens	RGS19
CK2_group_Homo sapiens	PSEN2
CK2_group_Homo sapiens	XK
CK2_group_Homo sapiens	GTF2A1
CK2_group_Homo sapiens	AQP4
CK2_group_Homo sapiens	BID
CK2_group_Homo sapiens	HSF1
CK2_group_Homo sapiens	SPIB
CK2_group_Homo sapiens	SLC18A2
CK2_group_Homo sapiens	PPP1R8
CK2_group_Homo sapiens	ACACA
CK2_group_Homo sapiens	VPS72
CK2_group_Homo sapiens	STX1A
CK2_group_Homo sapiens	OCLN
CK2_group_Homo sapiens	IFI16
CK2_group_Homo sapiens	PACS1
CK2_group_Homo sapiens	TCF7L2
CK2_group_Homo sapiens	RNF7
CK2_group_Homo sapiens	GTF2A1L
CK2_group_Homo sapiens	PIN4
CK2_group_Homo sapiens	CTDP1
CK2_group_Homo sapiens	CCNH
CK2_group_Homo sapiens	ANP32A
PKC_group_Homo sapiens	EGFR
PKC_group_Homo sapiens	IL2RA
PKC_group_Homo sapiens	LMNA
PKC_group_Homo sapiens	FGA
PKC_group_Homo sapiens	TFRC
PKC_group_Homo sapiens	RAF1
PKC_group_Homo sapiens	ANXA1
PKC_group_Homo sapiens	EEF1A1
PKC_group_Homo sapiens	INSR
PKC_group_Homo sapiens	NPM1
PKC_group_Homo sapiens	ANXA2
PKC_group_Homo sapiens	ABCB1
PKC_group_Homo sapiens	PLEK
PKC_group_Homo sapiens	MET
PKC_group_Homo sapiens	CD3G
PKC_group_Homo sapiens	TOP2A
PKC_group_Homo sapiens	CFTR
PKC_group_Homo sapiens	MYOD1
PKC_group_Homo sapiens	ATF2
PKC_group_Homo sapiens	GABRB1
PKC_group_Homo sapiens	GABRG2
PKC_group_Homo sapiens	LMNB1
