source	target
PRKACA_Homo sapiens	ADD1
PRKACA_Homo sapiens	ADD2
PRKACA_Homo sapiens	PSEN1
PRKACA_Homo sapiens	LRP1
PRKACA_Homo sapiens	ACLY
PRKACA_Homo sapiens	ATP2B1
PRKACA_Homo sapiens	ADRBK1
PRKACA_Homo sapiens	CACNA1C
PRKACA_Homo sapiens	ATF1
PRKACA_Homo sapiens	CREM
PRKACA_Homo sapiens	CSK
PRKACA_Homo sapiens	EPB49
PRKACA_Homo sapiens	DSP
PRKACA_Homo sapiens	GFAP
PRKACA_Homo sapiens	SLC2A2
PRKACA_Homo sapiens	GRIA4
PRKACA_Homo sapiens	GRIA1
PRKACA_Homo sapiens	GYS1
PRKACA_Homo sapiens	GP1BB
PRKACA_Homo sapiens	HMGCR
PRKACA_Homo sapiens	ITPR1
PRKACA_Homo sapiens	ITPKA
PRKACA_Homo sapiens	STMN1
PRKACA_Homo sapiens	LIPE
PRKACA_Homo sapiens	KCNH2
PRKACA_Homo sapiens	LCK
PRKACA_Homo sapiens	LCP1
PRKACA_Homo sapiens	MIP
PRKACA_Homo sapiens	MC4R
PRKACA_Homo sapiens	MAP2
PRKACA_Homo sapiens	MAPT
PRKACA_Homo sapiens	MBP
PRKACA_Homo sapiens	NOS1
PRKACA_Homo sapiens	HMGN2
PRKACA_Homo sapiens	HMGN1
PRKACA_Homo sapiens	NFKB1
PRKACA_Homo sapiens	RELA
PRKACA_Homo sapiens	BRAF
PRKACA_Homo sapiens	RAF1
PRKACA_Homo sapiens	FOS
PRKACA_Homo sapiens	RHOA
PRKACA_Homo sapiens	CCND1
PRKACA_Homo sapiens	PLIN1
PRKACA_Homo sapiens	PDC
PRKACA_Homo sapiens	PFKFB2
PRKACA_Homo sapiens	PLN
PRKACA_Homo sapiens	APC
PRKACA_Homo sapiens	PTPN7
PRKACA_Homo sapiens	RRAD
PRKACA_Homo sapiens	RAP1A
PRKACA_Homo sapiens	RAP1B
PRKACA_Homo sapiens	RYR1
PRKACA_Homo sapiens	RYR2
PRKACA_Homo sapiens	SPTBN1
PRKACA_Homo sapiens	SRC
PRKACA_Homo sapiens	TPH1
PRKACA_Homo sapiens	TH
PRKACA_Homo sapiens	ITGA4
PRKACA_Homo sapiens	VIM
PRKACA_Homo sapiens	VTN
PRKACA_Homo sapiens	SI
PRKACA_Homo sapiens	HDAC8
PRKACA_Homo sapiens	GJB1
PRKACA_Homo sapiens	CDK16
PRKACA_Homo sapiens	PHKA1
PRKACA_Homo sapiens	SYN1
PRKACA_Homo sapiens	CACNB2
PRKACA_Homo sapiens	CIITA
PRKACA_Homo sapiens	ABCA1
PRKACA_Homo sapiens	PTPN12
PRKACA_Homo sapiens	PDE4B
PRKACA_Homo sapiens	PDE4D
PRKACA_Homo sapiens	RAP1GAP
PRKACA_Homo sapiens	SNAP25
PRKACA_Homo sapiens	ETV1
PRKACA_Homo sapiens	PTBP1
PRKACA_Homo sapiens	SYN2
PRKACA_Homo sapiens	AANAT
PRKACA_Homo sapiens	THOP1
PRKACA_Homo sapiens	HNRNPD
PRKACA_Homo sapiens	VASP
PRKACA_Homo sapiens	GMFB
PRKACA_Homo sapiens	CUL5
PRKACA_Homo sapiens	PDE3B
